geoName,geoCode,Cactus,Tomorrowland,Blanket,Eiffel Tower,Spaghetti,Picasso,Whiskey,League of Legends,Elephant,Macbook,Vietnam War,Downton Abbey,Seinfeld,The Beatles,Orange Juice,NFL,Miles Davis,Koala,Samosa,Rubik's Cube,Romania,Microwave,Kleenex,Samsung,Pinterest,Bacon,Inception
Mississippi,MS,0.04597701149425288,0.1954022988505747,0.3898305084745763,0.0,1.0,0.2093023255813955,0.02173913043478263,0.0923076923076923,0.0,0.39285714285714285,0.06250000000000006,0.13461538461538472,0.0,0.0,0.625,0.634920634920635,0.0,0.0,0.2333333333333333,0.25000000000000006,0.0,0.3448275862068968,0.18823529411764706,0.41304347826086946,0.607843137254902,0.32653061224489804,0.029850746268656664
Missouri,MO,0.09195402298850573,0.3103448275862069,0.576271186440678,0.19999999999999996,0.39285714285714285,0.3488372093023256,0.5434782608695653,0.30769230769230776,0.5666666666666668,0.14285714285714288,0.4166666666666666,0.34615384615384626,0.37333333333333335,0.45283018867924524,0.5000000000000001,0.4285714285714286,0.53,0.5800000000000001,0.36666666666666664,0.5625,0.14925373134328357,0.6896551724137933,0.4470588235294118,0.6086956521739129,0.6666666666666666,0.6938775510204082,0.32835820895522394
Montana,MT,0.13793103448275862,0.1264367816091954,0.8305084745762712,0.15,0.39285714285714285,0.3488372093023256,0.6304347826086956,0.1384615384615385,0.6000000000000001,0.23214285714285704,0.39583333333333326,0.4615384615384615,0.37333333333333335,0.6415094339622642,0.7000000000000001,0.7301587301587301,0.0,0.6399999999999999,0.14444444444444446,0.46875000000000006,0.1343283582089552,0.5862068965517242,0.39999999999999997,0.717391304347826,0.8431372549019609,0.8979591836734693,0.4776119402985075
Nebraska,NE,0.09195402298850573,0.2988505747126437,0.694915254237288,0.19999999999999996,0.46428571428571414,0.16279069767441873,0.6304347826086956,0.23076923076923078,0.8999999999999999,0.2678571428571428,1.0,0.23076923076923075,0.32,0.45283018867924524,0.6,0.3015873015873017,0.0,0.9199999999999999,0.5000000000000001,0.609375,0.07462686567164178,0.6206896551724139,0.5647058823529412,0.5217391304347826,0.5882352941176472,0.7959183673469388,0.23880597014925373
Nevada,NV,0.2413793103448276,0.689655172413793,0.28813559322033894,1.0,0.3214285714285714,0.744186046511628,0.28260869565217395,0.5846153846153846,0.2333333333333335,0.3214285714285714,0.12499999999999989,0.07692307692307698,0.8933333333333334,1.0,0.575,0.7460317460317459,0.41,0.5800000000000001,0.26666666666666666,0.43750000000000006,0.46268656716417916,0.06896551724137936,0.24705882352941178,0.8043478260869565,0.13725490196078444,0.20408163265306117,0.5970149253731344
New Hampshire,NH,0.04597701149425288,0.4482758620689655,0.7118644067796609,0.21249999999999997,0.10714285714285712,0.5348837209302327,0.3478260869565216,0.3230769230769232,0.4333333333333333,0.5178571428571428,0.8541666666666667,0.8076923076923077,0.43999999999999995,0.6981132075471698,0.8749999999999999,0.5396825396825397,0.95,0.5800000000000001,0.39999999999999997,0.5000000000000001,0.3134328358208956,0.724137931034483,0.15294117647058827,0.5217391304347826,0.5294117647058824,0.673469387755102,0.5970149253731344
New Jersey,NJ,0.011494252873563229,0.5632183908045977,0.3220338983050847,0.3,0.0,0.883720930232558,0.08695652173913028,0.4153846153846154,0.3999999999999999,0.6071428571428571,0.43749999999999994,0.19230769230769226,0.6666666666666666,0.5849056603773586,0.5000000000000001,0.4761904761904763,0.52,0.56,0.888888888888889,0.421875,0.34328358208955234,0.37931034482758613,0.29411764705882354,0.6739130434782608,0.11764705882352951,0.04081632653061228,0.6716417910447762
New Mexico,NM,0.3103448275862069,0.6091954022988506,0.5254237288135593,0.2375,0.23214285714285704,0.4186046511627908,0.2608695652173913,0.15384615384615388,0.7333333333333335,0.16071428571428575,0.3333333333333334,0.23076923076923075,0.5066666666666667,0.6792452830188679,0.4500000000000001,0.9047619047619047,0.68,0.3799999999999999,0.18888888888888888,0.609375,0.16417910447761194,0.2068965517241381,0.2,0.6956521739130435,0.3333333333333334,0.1632653061224489,0.3582089552238805
New York,NY,0.011494252873563229,0.7011494252873564,0.42372881355932207,0.22499999999999998,0.05357142857142851,1.0,0.19565217391304343,0.3538461538461538,0.2666666666666669,0.6071428571428571,0.020833333333333353,0.15384615384615397,0.8266666666666667,0.4716981132075471,0.5000000000000001,0.20634920634920637,0.77,0.3400000000000001,0.7444444444444445,0.17187499999999997,0.40298507462686567,0.4137931034482758,0.45882352941176474,0.6304347826086956,0.03921568627450984,0.12244897959183662,0.582089552238806
North Carolina,NC,0.04597701149425288,0.27586206896551724,0.4067796610169492,0.13749999999999998,0.5178571428571428,0.5581395348837211,0.04347826086956526,0.1846153846153846,0.2666666666666669,0.39285714285714285,0.4166666666666666,0.44230769230769224,0.30666666666666664,0.1698113207547171,0.5250000000000001,0.4285714285714286,0.54,0.3999999999999999,0.4555555555555556,0.35937499999999994,0.16417910447761194,0.5172413793103449,0.2,0.41304347826086946,0.49019607843137253,0.32653061224489804,0.3582089552238805
